date,product,quantity,price
2/1/2024,A,1,100
2/2/2024,C,4,150
2/3/2024,B,4,200
2/4/2024,A,5,100
2/5/2024,A,5,100
2/6/2024,C,4,150
2/7/2024,B,4,200
2/8/2024,C,3,150
2/9/2024,A,4,100
2/10/2024,B,1,200
2/11/2024,C,5,150
2/12/2024,A,4,100
2/13/2024,C,2,150
2/14/2024,C,4,150
2/15/2024,B,4,200
2/16/2024,C,1,150
2/17/2024,B,5,200
2/18/2024,B,4,200
2/19/2024,A,4,100
2/20/2024,C,1,150
2/21/2024,A,2,100
2/22/2024,C,5,150
2/23/2024,A,2,100
2/24/2024,A,2,100
2/25/2024,C,5,150
2/26/2024,B,4,200
2/27/2024,B,3,200
2/28/2024,B,2,200
2/29/2024,B,4,200
