date,product,quantity,price
1/1/2024,B,5,200
1/2/2024,C,5,150
1/3/2024,C,4,150
1/4/2024,B,3,200
1/5/2024,B,1,200
1/6/2024,A,3,100
1/7/2024,B,2,200
1/8/2024,A,4,100
1/9/2024,A,3,100
1/10/2024,A,3,100
1/11/2024,C,3,150
1/12/2024,C,3,150
1/13/2024,C,2,150
1/14/2024,C,5,150
1/15/2024,A,5,100
1/16/2024,B,3,200
1/17/2024,C,3,150
1/18/2024,C,5,150
1/19/2024,A,4,100
1/20/2024,B,1,200
1/21/2024,C,3,150
1/22/2024,C,4,150
1/23/2024,C,5,150
1/24/2024,A,3,100
1/25/2024,B,4,200
1/26/2024,A,4,100
1/27/2024,A,3,100
1/28/2024,B,5,200
1/29/2024,A,3,100
1/30/2024,C,2,150
1/31/2024,C,4,150
